代號,名稱,英文名稱,票面利率,轉換價格(元),轉換價格生效日期,轉換標的代碼,轉換標的名稱,轉換日期起,轉換日期迄,發行日期,掛牌日期,到期日,到期價格,到期殖利率,申請發行總額(百萬),實際發行總額(百萬),發行價格(元),最新餘額(百萬),還本年限,發行時轉換價格(元),承銷機構,過戶機構,提前償還日,提前償還日1,提前償還價格1,提前償還殖利率1,提前償還日2,提前償還價格2,提前償還殖利率2,提前償還日3,提前償還價格3,提前償還殖利率3,提前償還日4,提前償還價格4,提前償還殖利率4,最近提前償還日,最近提前償還價格,最近提前償還殖利率,債券擔保情形,重設平均天數3,重設轉換價格公式,停止受理轉換登記日期起,停止受理轉換登記日期訖,強制贖回日
13164,上曜四,"SUN YAD CONSTRUCTION CO.,LTD 4th Secured Convertible Bond",0.0,14.7,2025-02-20 00:00:00,1316.0,上曜,2021-04-30 00:00:00,2026-01-29 00:00:00,2021-01-29 00:00:00,2021-01-29 00:00:00,2026-01-29 00:00:00,100.0,0.0,400.0,400.0,101.0,134.0,5.0,14.9,960T富邦綜合證券,元大證券股份有限公司,發行滿三年,2024-01-29 00:00:00,100.75,0.25,2026-01-29 00:00:00,100.0,0.0,,,,,,,2026-01-29 00:00:00,100.0,0.0,有，台北富邦商業銀行股份有限公司,,,2025-10-09 00:00:00,2025-11-07 00:00:00,
13166,上曜六,"SUN YAD CONSTRUCTION CO.,LTD 6th Secured Convertible Bond",0.0,17.4,2025-02-20 00:00:00,1316.0,上曜,2025-03-28 00:00:00,2027-12-27 00:00:00,2024-12-27 00:00:00,2024-12-27 00:00:00,2027-12-27 00:00:00,100.0,0.0,400.0,400.0,100.0,400.0,3.0,17.8,592T元富證券,元大證券股份有限公司,發行滿二年,2026-12-27 00:00:00,100.5,0.25,2027-12-27 00:00:00,100.0,0.0,,,,,,,2026-12-27 00:00:00,100.5,0.25,有，板信商業銀行股份有限公司,,,2025-10-09 00:00:00,2025-11-07 00:00:00,
13382,廣華二KY,Hiroca Holdings Ltd. 2nd Unsecured Convertible Bond,0.0,37.6,2025-07-15 00:00:00,1338.0,廣華-KY,2024-03-02 00:00:00,2028-12-01 00:00:00,2023-12-01 00:00:00,2023-12-01 00:00:00,2028-12-01 00:00:00,100.0,0.0,600.0,600.0,100.0,600.0,5.0,39.4,779T國票綜合證券,兆豐證券股份有限公司股務代理部,發行滿三年,2026-12-01 00:00:00,106.1208,2.0,2028-12-01 00:00:00,100.0,0.0,,,,,,,2026-12-01 00:00:00,106.1208,2.0,無,,,2025-06-20 00:00:00,2025-07-15 00:00:00,
14363,華友聯三,"HUA YU LIEN Development Co., Ltd. 3rd Domestic Unsecured Convertible Bonds",0.0,128.7,2025-07-27 00:00:00,1436.0,華友聯,2024-11-28 00:00:00,2027-08-27 00:00:00,2024-08-27 00:00:00,2024-08-27 00:00:00,2027-08-27 00:00:00,104.5678,1.5,600.0,600.0,100.0,600.0,3.0,182.5,888T國泰綜合證券,群益金鼎證券股份有限公司股務代理部,發行滿二年,2026-08-27 00:00:00,103.0225,1.5,2027-08-27 00:00:00,104.5678,1.5,,,,,,,2026-08-27 00:00:00,103.0225,1.5,無,,,2025-07-02 00:00:00,2025-07-27 00:00:00,
14364,華友聯四,"HUA YU LIEN Development Co., Ltd. 4th Unsecured Convertible Bonds",0.0,99.0,2025-07-27 00:00:00,1436.0,華友聯,2025-06-19 00:00:00,2028-03-18 00:00:00,2025-03-18 00:00:00,2025-03-18 00:00:00,2028-03-18 00:00:00,104.5678,1.5,2000.0,2000.0,101.0,2000.0,3.0,140.3,888T國泰綜合證券,群益金鼎證券股份有限公司股務代理部,發行滿二年,2027-03-18 00:00:00,103.0225,1.5,2028-03-18 00:00:00,104.5678,1.5,,,,,,,2027-03-18 00:00:00,103.0225,1.5,無,,,2025-07-02 00:00:00,2025-07-27 00:00:00,
14381,三地開發一,"San Di Properties Co., Ltd. 1st domestic Secured convertible bonds",0.0,55.88,2024-12-26 00:00:00,1438.0,三地開發,2025-03-20 00:00:00,2029-12-19 00:00:00,2024-12-19 00:00:00,2024-12-19 00:00:00,2029-12-19 00:00:00,102.5251,0.5,970.0,970.0,117.63,970.0,5.0,57.5,585T統一綜合證券,中國信託股份有限公司,發行滿三年,2027-12-19 00:00:00,101.5075,0.5,2029-12-19 00:00:00,102.5251,0.5,,,,,,,2027-12-19 00:00:00,101.5075,0.5,有，台中商業銀行股份有限公司,,,2025-04-25 00:00:00,2025-06-23 00:00:00,
14664,聚隆四,Acelon Chemicals & Fiber Corp. 4th Domestic Secured Convertible Bonds,0.0,18.8,2025-06-20 00:00:00,1466.0,聚隆,2025-09-21 00:00:00,2028-06-20 00:00:00,2025-06-20 00:00:00,2025-06-20 00:00:00,2028-06-20 00:00:00,100.0,0.0,400.0,400.0,103.11,400.0,3.0,18.8,779T國票綜合證券,凱基證券股份有限公司,無,2028-06-20 00:00:00,100.0,0.0,,,,,,,,,,2028-06-20 00:00:00,100.0,0.0,有，台中商業銀行股份有限公司,,,,,
14722,三洋實業二,"Triocean Industrial Corporation Co., LTD. 2nd Domestic Secured Convertible Bond",0.0,98.6,2025-07-15 00:00:00,1472.0,三洋實業,2025-08-30 00:00:00,2028-05-29 00:00:00,2025-05-29 00:00:00,2025-05-29 00:00:00,2028-05-29 00:00:00,100.0,0.0,300.0,300.0,110.71,300.0,3.0,102.0,815T台新綜合證券,凱基證券股份有限公司股務代理部,發行滿二年,2027-05-29 00:00:00,101.0025,0.5,2028-05-29 00:00:00,100.0,0.0,,,,,,,2027-05-29 00:00:00,101.0025,0.5,有，台中商業銀行股份有限公司,,,,,
14723,三洋實業三,"Triocean Industrial Corporation Co., LTD. 3rd Domestic Unsecured Convertible Bond",0.0,101.5,2025-07-15 00:00:00,1472.0,三洋實業,2025-09-18 00:00:00,2028-06-17 00:00:00,2025-06-17 00:00:00,2025-06-17 00:00:00,2028-06-17 00:00:00,100.0,0.0,400.0,400.0,100.0,400.0,3.0,105.0,815T台新綜合證券,凱基證券股份有限公司股務代理部,發行滿二年,2027-06-17 00:00:00,102.01,1.0,2028-06-17 00:00:00,100.0,0.0,,,,,,,2027-06-17 00:00:00,102.01,1.0,無,,,,,
14743,弘裕三,"Honmyue Enterprise Co., Ltd. 3rd Domestic Unsecured Convertible Bond",0.0,14.0,2025-08-25 00:00:00,1474.0,弘裕,2025-07-01 00:00:00,2028-03-31 00:00:00,2025-03-31 00:00:00,2025-03-31 00:00:00,2028-03-31 00:00:00,101.5075,0.5,300.0,300.0,101.5,300.0,3.0,14.5,700T兆豐證券,富邦綜合證券股務代理部,無,2028-03-31 00:00:00,101.5075,0.5,,,,,,,,,,2028-03-31 00:00:00,101.5075,0.5,無,,,2025-07-31 00:00:00,2025-08-25 00:00:00,
